Suhu,Daylight,Mass_H2O,Volume
30,1,20,1
28,0,17,2
29,1,22,1
33,1,19,2
27,1,16,2
31,0,24,1
32,1,23,2
35,0,25,1
26,1,18,2
28,1,21,1
34,0,22,1
29,0,20,1
31,1,19,2
27,1,18,2
33,1,24,1
30,1,22,2
35,0,23,1
28,0,16,2
32,1,20,1
29,1,21,1
34,1,25,2
26,0,19,1
31,1,24,1
30,1,18,2
27,1,17,2
33,0,23,1
29,1,20,1
35,1,22,1
28,1,19,2
32,1,25,1
30,0,21,1
34,1,16,2
31,0,24,1
26,1,18,2
33,1,22,1
28,0,20,1
35,0,23,1
27,1,19,2
30,1,21,1
29,1,17,2
31,1,24,1
32,0,22,1
34,1,25,1
30,1,20,2
28,1,18,2
27,0,19,1
33,1,23,1
29,1,21,2
35,0,22,1
32,1,24,1
31,1,19,2
28,1,16,2
30,0,25,1
34,1,20,2
29,0,23,1
26,1,17,2
33,1,18,1
30,1,22,1
31,1,21,2
35,1,24,1
27,1,20,2
28,0,19,1
32,1,25,2
